,,Value,Value
,,sum,count
Item,Year,,
Other fruits n.e.c.,2012,97582.8,2
Other fruits n.e.c.,2013,98244.5,2
Other fruits n.e.c.,2014,137040.0,2
Other fruits n.e.c.,2015,136439.0,2
Other fruits n.e.c.,2016,137404.0,2
Other fruits n.e.c.,2017,139935.0,2
Other fruits n.e.c.,2018,144111.0,2
Other fruits n.e.c.,2019,145759.66,2
Other fruits n.e.c.,2020,151360.41,2
Other fruits n.e.c.,2021,145962.98,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2012,2350.88,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2013,2388.0,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2014,2462.12,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2015,2572.5299999999997,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2016,2507.2200000000003,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2017,2460.08,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2018,2531.27,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2019,2518.8599999999997,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2020,2524.74,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2021,2524.96,2
Other oil seeds n.e.c.,2012,0.0,2
Other oil seeds n.e.c.,2013,0.0,2
Other oil seeds n.e.c.,2014,0.0,2
Other oil seeds n.e.c.,2015,0.0,2
Other oil seeds n.e.c.,2016,0.0,2
Other oil seeds n.e.c.,2017,0.0,2
Other oil seeds n.e.c.,2018,0.0,2
Other oil seeds n.e.c.,2019,0.0,2
Other oil seeds n.e.c.,2020,0.0,2
Other oil seeds n.e.c.,2021,0.0,2
Other pulses n.e.c.,2012,4200.0,2
Other pulses n.e.c.,2013,3920.0,2
Other pulses n.e.c.,2014,4780.52,2
Other pulses n.e.c.,2015,5900.0,2
Other pulses n.e.c.,2016,7300.0,2
Other pulses n.e.c.,2017,5993.17,2
Other pulses n.e.c.,2018,6397.719999999999,2
Other pulses n.e.c.,2019,6564.3,2
Other pulses n.e.c.,2020,6318.4,2
Other pulses n.e.c.,2021,6426.8099999999995,2
Other stimulant spice and aromatic crops n.e.c.,2012,3231.32,2
Other stimulant spice and aromatic crops n.e.c.,2013,3288.29,2
Other stimulant spice and aromatic crops n.e.c.,2014,3507.66,2
Other stimulant spice and aromatic crops n.e.c.,2015,3747.25,2
Other stimulant spice and aromatic crops n.e.c.,2016,3514.4,2
Other stimulant spice and aromatic crops n.e.c.,2017,3926.9,2
Other stimulant spice and aromatic crops n.e.c.,2018,4138.4,2
Other stimulant spice and aromatic crops n.e.c.,2019,4442.0,2
Other stimulant spice and aromatic crops n.e.c.,2020,4707.0,2
Other stimulant spice and aromatic crops n.e.c.,2021,4676.139999999999,2
Other tropical fruits n.e.c.,2012,201909.0,2
Other tropical fruits n.e.c.,2013,210723.0,2
Other tropical fruits n.e.c.,2014,223057.75,2
Other tropical fruits n.e.c.,2015,235308.3,2
Other tropical fruits n.e.c.,2016,249136.0,2
Other tropical fruits n.e.c.,2017,265674.0,2
Other tropical fruits n.e.c.,2018,278910.98,2
Other tropical fruits n.e.c.,2019,265803.14,2
Other tropical fruits n.e.c.,2020,267737.51,2
Other tropical fruits n.e.c.,2021,272111.18,2
Other vegetables fresh n.e.c.,2012,65168.7,2
Other vegetables fresh n.e.c.,2013,65453.3,2
Other vegetables fresh n.e.c.,2014,86195.0,2
Other vegetables fresh n.e.c.,2015,89189.0,2
Other vegetables fresh n.e.c.,2016,89292.0,2
Other vegetables fresh n.e.c.,2017,87192.0,2
Other vegetables fresh n.e.c.,2018,96523.0,2
Other vegetables fresh n.e.c.,2019,96095.57,2
Other vegetables fresh n.e.c.,2020,92162.11,2
Other vegetables fresh n.e.c.,2021,91872.56,2
Papayas,2012,133882.77000000002,2
Papayas,2013,161590.0,2
Papayas,2014,160768.0,2
Papayas,2015,156080.0,2
Papayas,2016,181765.32,2
Papayas,2017,190063.0,2
Papayas,2018,188322.13,2
Papayas,2019,177908.57,2
Papayas,2020,201514.08,2
Papayas,2021,203126.99,2
Peaches and nectarines,2012,52713.0,2
Peaches and nectarines,2013,55571.0,2
Peaches and nectarines,2014,58152.0,2
Peaches and nectarines,2015,56755.0,2
Peaches and nectarines,2016,56506.0,2
Peaches and nectarines,2017,51452.0,2
Peaches and nectarines,2018,50701.0,2
Peaches and nectarines,2019,50844.0,2
Peaches and nectarines,2020,45867.0,2
Peaches and nectarines,2021,51693.0,2
Pears,2012,5050.5,2
Pears,2013,4882.93,2
Pears,2014,5155.0,2
Pears,2015,4909.0,2
Pears,2016,4431.860000000001,2
Pears,2017,4771.0,2
Pears,2018,5010.33,2
Pears,2019,4550.85,2
Pears,2020,4376.48,2
Pears,2021,4663.6,2
